Note,Commentaire,Label
5,efficace pour la peau sèche,Positif
4,"tres bien, ca marche pour peau grasse",Positif
5,wow j’adore,Positif
1,bad,Négatif
2,il n’est pas très efficace,Neutre
5,trés bon rapport qualité prix,Positif
2,tzayet wejh barsha,Neutre
4,toaap,Positif
5,"pas cher et efficace , c top",Positif
4,bon produit par rapport qualité prix,Positif
5,a really good product,Positif
3,cv ta7foun,Positif
5,tp,Positif
5,je le recommade,Positif
4,"je le recommande,c’est mon gel préféré",Positif
5,ce produit est parfait pour les peaux acnéiques je l’ai essayé ma peau est devenue plus saine,Positif
5,il est le meilleur,Positif
4,idéal pour les peaux acnéiques,Positif
5,je l’ai utilisé il est bien,Positif
3,good quality. thanx,Positif
5,"good quality
rihtou bniina
ynathf w maychayahch l wejh",Positif
5,wakteh yarjaa en stock?,Positif
4,good for double cleansing,Positif
5,très pratique pour lavage quotidien de visage,Positif
4,bon produit pas plus,Positif
5,coup coeur,Positif
4,top,Positif
4,la qualité et l’efficacité  dans un seul produit,Positif
4,suuupeeerr,Positif
5,un bon produit pour les acnés et les inperfections,Positif
5,impeccable comme base de maquillage,Positif
5,c efficace,Positif
5,c’est le meilleur de toute la gamme,Positif
5,je recommande bientôt enchalah,Positif
5,ce top je valide,Positif
4,superrrrr,Positif
4,j’aime ,Positif
5,want to try <3,Positif
5,efficacité,Positif
5,j’ai toujours été heureux,Positif
5,hydratation intense,Positif
4,je recommande ,Positif
4,i ll try it soon ,Positif
5,g,Positif
2,ideal pour peau normal,Neutre
3,++,Positif
5,gft-bak,Positif
4,une excellente marque,Positif
4,excellent produit local,Positif
3,.j.j.j.j.n,Positif
3,pas mal par rapport à son prix ‍,Positif
4,excellent pour une marque tunisienne,Positif
5,the best one for oily skin,Positif
5,"in one word, this product lift from vichy is just a skin champion",Positif
4,bravoo,Positif
3,il ne vaut pas son prix aucun effet sur les ridules,Positif
4,effet miracle,Positif
4,sérum tooop,Positif
5,jai bcp aimée,Positif
4,elle es top cette marque,Positif
5,"j ai une peau extrêmement sèche et ce produit m’a vraiment trop aidé
a nourrir et hydrater ma peau, il sens bon et apporte un eclat remarquable au visage je le recommande vivement .",Positif
5,"i really like it
might feel oily at first but then dries down and feels hydrating",Positif
5,sits very well under makeup,Positif
4,thesou oily melowl ama fisaa yochrbou l wejh,Positif
2,toute la gamme est moyenne,Neutre
5,"parfaite pour les peaux grasses, ne laisse pas un film gras",Positif
5,rapport qualité prix behi,Positif
3,le produit n’est pas vrt à l’attente de ses promesses. protège cobtre le soleil sans atténuer les tâches,Positif
4,"toujours en repture ?
excellent ",Positif
5,parmi les meilleurs à essayer,Positif
4,bahi,Positif
5,wow mahleh,Positif
5,fait le job ,Positif
5,j’adore ,Positif
5,texturé coton top et la matière aussi,Positif
5,باهي  هايل,Positif
2,dima nichri,Neutre
5,le meilleur gommage pour la peau sensible en tunisie,Positif
4,top ,Positif
5,résultats convaincants,Positif
5,pas d’effet encore,Positif
2,non bien,Neutre
5,très satisfaite,Positif
4,merci bien,Positif
5,sublime,Positif
5,j’adoreeeee,Positif
5,jarabtou behi barcha,Positif
5,good quality.  super tooop,Positif
4,ya3ti éclat ma7leh,Positif
5,donne un éclat au visage,Positif
5,bon pour les ceux avec des taches,Positif
4,bon produit pour les peaux trés séches,Positif
4,"parmi les meilleures crème hydratante pour la peau sensible , pas de rougeur ni brulure",Positif
3,effet moyen pas d’effet apaisant visible,Positif
5,le meilleur pour les peaux sèches et sensibles,Positif
5,ifata9,Positif
5,hydrate en profondeur magnifique,Positif
5,efficace l peau sensible,Positif
5,produit super,Positif
4,the best !,Positif
4,j’adore !!,Positif
5,top cette marque,Positif
4,good for acne  skin,Positif
5,ça donne une bonne mine et une bonne texture,Positif
5,produit impeccable,Positif
2,les femmes savent bien qui est le top,Neutre
4,j’ai apprécié la texture.,Positif
5,agréable,Positif
5,niceeee,Positif
3,tnahi les taches?,Positif
4,yacer tayara w prix waw ,Positif
2,pas tellement,Neutre
5,topo,Positif
2,metwast,Neutre
5,très très bonne,Positif
5,belle huile qui sent très bien,Positif
4,je prefere la version originale,Positif
3,"marque tunisienne, une découverte  , je vais l’essayer inchallah",Positif
3,"odeur trés particuliere, le pot se finit vite",Positif
5,mchee barcha maa wejhi,Positif
5,eficace,Positif
5,gentle,Positif
3,nouvelle découverte en cours d’essai,Positif
5,top mshe maaya aalekhr,Positif
5,great quality.,Positif
4,souple 3al peaux yeser behi,Positif
5,efficace surtout en hiver,Positif
5,vraiment waw,Positif
4,good 3jbni brcha,Positif
5,produit haut de gamme !,Positif
4,hydratante non collante,Positif
3,"texture veloutée , ne convient pas aux peaux à tendance acnéiques",Positif
5,superbe belhak,Positif
5,top !  leger et apaisant,Positif
5,excellent quality.,Positif
5,encore dispo?,Positif
5,tres satisfaisant,Positif
5,j’aime beaucoup,Positif
4,super pour les rides,Positif
3,soin nuit lissant,Positif
5,good  ,Positif
4,trop bien,Positif
5,good et quantité généreuse,Positif
4,gutttt,Positif
5,meilleurs produit,Positif
5,ahsan wehd,Positif
3,un bon produit ama youfa fisa3,Positif
5,"tres bon produit, ça hydrate super bien et ça protège la peau  , j’adore",Positif
5,"produit miraculeux contre les boutons, je recommande vivement",Positif
3,un peu cher mais pour utilisation minimale et continue on voit des résultats qui dure,Positif
5,bfhi barcha,Positif
4,heyl brsha,Positif
5,good ,Positif
5,je recommande fortement,Positif
5,heeeyl,Positif
5,vraiment incroyable je recommande,Positif
4,bon produit resultat vu a long terme,Positif
4,produit efficace contre les tâches brunes,Positif
4,من أحسن المنتجات الموجودة في تونس ضد البقع الداكنة في الوجه,Positif
3,recommandé par mon médecin esthétique pour éliminer les tâches (peau mixte ),Positif
3,merci,Positif
4,douce,Positif
5,je l’adore ,Positif
5,vraiment tayara,Positif
5,yo9tel,Positif
5,tayara lhak fatah lwejh bel behy f wakt ksir,Positif
5,top llpeau grasse,Positif
4,j’aimme trop,Positif
5,nettoie bien,Positif
5,<3 <3 i love,Positif
5,très efficace contre les taches brunes,Positif
2,"effet hydratant,mais l effet booster non ressenti après 3 mois d utilisation",Neutre
5,excellent produit. je le recommande vivement.,Positif
5,good quality. mjareb,Positif
5,good quality ‍,Positif
5,manifique,Positif
5,100%,Positif
5,je recommande le meilleure,Positif
4,"ne colle pas, excellent",Positif
4,efficase,Positif
5,hydrate les lèvres,Positif
5,je le recommande en plus il sent très bon,Positif
5,ta7founa ..temchi yaser m3a l peau seche seche,Positif
5,bon produit toop,Positif
3,ce produit nettoie la peau mais j’aime pas le fait qu’il n’est pas moussant donc a chaque fois j’éprouve le besoin d’ajouter plus de produit,Positif
4,j’adore bien,Positif
4,efficace nettoyage et hydrate bien,Positif
2,3tahouli mon dermato et c top à recommander,Neutre
5,good ,Positif
5,"good product, i recommend",Positif
4,toooop ,Positif
4,très bien ,Positif
4,coup de cœur,Positif
4,mon fav,Positif
3,"hydratant et apaisant , bon pour peau sensible",Positif
4,dispo,Positif
1,je trouve pas leur utilité !,Négatif
1,effet rafraîchissant,Négatif
4,je commande,Positif
5,je l’adore,Positif
4,+++,Positif
5,top de top ,Positif
5,bon qualite je recommande,Positif
2,"ça donne un éclat oui, pour ma peau grasse ne nettoie pas en profondeur",Neutre
5,incr ! pour une peau mixte à grasse,Positif
5,brhi,Positif
5,thabel,Positif
4,tanjah,Positif
4,la liste d’ingrédient semble très riche! j’aime,Positif
4,produit a conseiller,Positif
3,correcte,Positif
5,comment l’utiliser?,Positif
4,"bon produit. j’aime bien car ne pique pas les yeux . pour un usage quotidien , il faut faire attention à la pointe qui peut s’assécher rapidement et donc bye bye à l’application précise",Positif
4,demaquille bien,Positif
4,best gel nettoyant,Positif
2,pas top pour la peau grasse,Neutre
3,"je recommande pour peau sensible, mixte",Positif
4,bech nkhthou shakrouh barcha,Positif
3,good ingredients,Positif
5,très hydratant. rajeunissement des mains,Positif
4,jaiimmmee,Positif
3,"pour ma fille atteinte d’eczema , cela lui evite de se gratter. bonne hydratation .",Positif
4,extrême couvrance. ne bouge pas. ne donne pas de boutons. dure un an +++ vaut son prix. choix de teintes trop limités.,Positif
3,"good and heavy cream, i’m using it as a make up base (base de makillage)",Positif
5,résultat mawjoud,Positif
3,bonne pommade,Positif
4,sa marche ,Positif
5,ri7a fraiche thabel,Positif
5,good marque,Positif
3,ma lkitsh resultat maaha lhkika,Positif
5,idée cadeau pour les mamans très originale,Positif
5,"ce vernis a transformé mes ongles. ils sont beaucoup plus forts et ne se cassent plus. de plus, il est parfait pour ma peau sensible.",Positif
4,bon apaisant,Positif
3,ich mag  ,Positif
5,top déjà nista3mil fih ,Positif
5,un bon produit,Positif
5,"parfait , effet bonne mine",Positif
4,mch khayeb ama mch behi lel abed eli andha acne,Positif
3,marque uriage ,Positif
5,top pour les peaux sensibles,Positif
5,top pour moi ,Positif
3,excellent mais un peu cher,Positif
4,super pour les peaux avec tâches brunes,Positif
5,"résultats approuvés, je le recommande",Positif
5,voilà le bon produit,Positif
5,ta7fou,Positif
5,avène ,Positif
3,yhabl,Positif
4,très bien ,Positif
5,جيد جدآ,Positif
5,ce produit est top .je ne change pas l’eau micellaire bioderma pour peau sensible,Positif
4,très bon produit.,Positif
4,tres bon rapport qualité prix qualité ! j l aime bien <3,Positif
3,un bon nettoyant,Positif
5,top top toppp,Positif
4,j’espère,Positif
5,je recommande ,Positif
2,bon normale,Neutre
5,top du top tres doux et hydratant,Positif
4,idéale pour les peaux mixtes à grasses,Positif
2,mat,Neutre
5,je le recommande !,Positif
4,qualité produit tayara,Positif
5,j adore,Positif
3,bech najrbha,Positif
5,great one,Positif
5,ifarhad,Positif
5,je recommande alekher ,Positif
4,the besstt for meee,Positif
5,meilleur anti cerne,Positif
5,magnifique ,Positif
5,parfaite pour peaux sèches à très sèches,Positif
4,behya barcha,Positif
5,top bon produit,Positif
4,j’adore ,Positif
3,produit doux,Positif
4,je recommande pour peau hyper sensible,Positif
5,j’aime beaucoup l’originalité du produit,Positif
4,je le recommende,Positif
5,tooooop,Positif
4,ri7tou bnina w ynadhef w ya3ti éclat ama lezem ba3dou crème hydratante pour les peaux sèches,Positif
4, nice,Positif
5,toop toop,Positif
3,jarabtou et ta7foun,Positif
4,"trés nourissant , la peau est trés douce aprés",Positif
2,pas de resultat,Neutre
3,efficace contre les taches brunes,Positif
5,j v confirmer,Positif
5,le plus efficace,Positif
4,ce produit me donne un effet glowy tres beau apres l’application !!! et a long terme j ai remarqué la disparition des taches brunes,Positif
3,ce n’est pas miraculeux,Positif
5,j’ai bien aimé,Positif
5,je recommande produit authentique,Positif
4,just wow,Positif
5,cette huile est incroyable!! son odeur est tellement bonne je pense a la boire parfois ahahaha et surtout que l’odeur se colle dans les vêtements et sur la peau aussi pour une tres longue durée,Positif
5,"bes oil for body !!
mon coup de cœur ",Positif
5,mon meilleur produit top top effet bonne mine,Positif
5,il est top ,Positif
5,"l’effet se voit du premier mois, mais il faut continuer l’utilisation",Positif
2,j’ai pas trop aimé,Neutre
5,magnifique je recommande vivement,Positif
3,.,Positif
5,un excellent produit  ,Positif
5,top topp,Positif
4,bonne hydratation,Positif
4,gd,Positif
3,pas mal ama youfa fisa3,Positif
5,"ça sent bon , ça donne un coup d’éclat et ça maintient bien l’hydratation du visage ! parfait",Positif
5,excellent,Positif
5,exelent,Positif
5,produit interessant,Positif
5,"bon produit, bon rapport qualité prix, je le recommande",Positif
5,"super hydratant
behi leli andhom psoriasis",Positif
5,"j’ai acheté toute la gamme fiderma clarifid; gel nettoyant, creme du jour et serum. vraiment top du top.mes taches commencent a disparaitre. et comme on disait الدوام ينقب الرخام",Positif
5,la solution micellaire ideale,Positif
5,ce baume à lèvres est super hydratant,Positif
5,je le recommande !! un produit du top !,Positif
5,très doux ça marche très bien avec les peaux sensibles,Positif
5,"mousse agréable à utiliser , j’ai une peau assez sensible et ça ne m’a pas du tout irrité ",Positif
4,trop beau pour les peaux grâce,Positif
5,i like it !,Positif
4,très bon pour peaux grasses,Positif
5,efficace et résultat rapide,Positif
4,"pourtant que j ai la peau seche, j ai trouvé que ce produit est respectueusement hydratant et sa sens tres bon en plus!!!",Positif
5,hydrate bien,Positif
4,excellent pour les peaux sensibles,Positif
4,"je recommande pour peau sensible , mixte",Positif
3,behy,Positif
5,bhy,Positif
4,texture légère hydrate bien sans laisser de film,Positif
5,…..j….,Positif
5,yhaballllllll,Positif
5,superbe,Positif
4,aadi,Positif
3,bonne qualité ,Positif
4,douce pour la peau,Positif
5,parfait il respecte la peau n’assèche pas et n’agresse pas la peau en la nettoyant,Positif
4,bonne découverte,Positif
5,un bon produit. l’odeur est agréable sans excès,Positif
4,c’est vraiment parfait,Positif
3,akeka wbara ma ameli chy,Positif
5,toooooop,Positif
3,jaime bien,Positif
5,رائع,Positif
5,excellent résultat,Positif
4,good result,Positif
5,it an excellent résultat,Positif
4,great product,Positif
5,ممتاز,Positif
5,authentique,Positif
3,il est bon,Positif
5,"la crème éclaircissante beesline est une excellente option pour ceux qui cherchent à améliorer l’uniformité et la luminosité de leur teint. avec une utilisation régulière, elle offre des résultats visibles et durables, tout en prenant soin de la peau.",Positif
4,excellent produit  pour peau sensible,Positif
5,je recommande cette marque,Positif
3,nouvelle découverte,Positif
2,rapport qualité prix 0,Neutre
5,top ,Positif
5,top qualite,Positif
5,raw3aaaaa,Positif
5,très efficace ,Positif
4,couvrant,Positif
4,so sweet,Positif
5,hlow,Positif
5,formidable,Positif
4,okkk,Positif
5,efficace pour sensible,Positif
5,super effet immediat presque,Positif
4,sympa,Positif
4,ihabal,Positif
4,top pour peaux sensibles,Positif
3,ca marche,Positif
5,j’adore texture douce pour peaux sensibles,Positif
5,excellent nettoyant pour peau sensible,Positif
5,parfait pour les peaux irritées,Positif
4,excellent pour hydrater et dimine les vergitures,Positif
5,un coffret prodigieux et indispensable ,Positif
5,jaime bq,Positif
4,un coffret prodigieux,Positif
4,rapport quallité prix,Positif
5,trs satisfait,Positif
5,magnifique pour un premier nettoyage!!,Positif
5,les produits filorga est top,Positif
4,cool,Positif
5,"je l’ai trouvé efficace pour un prurigo, je le recommande",Positif
4,e3ti éclat mzyena lil wjeh,Positif
3,"jarbto lhkika ma tbdel chay
yomken lezem nestamel akther",Positif
4,bon rapport qualité / prix,Positif
5,j’aime bien ce produit,Positif
4,goof,Positif
3,nettoye bien la peau,Positif
4,a essayer,Positif
5,smell good,Positif
5,a utiliser,Positif
4,amazing je recommender,Positif
5,good pour peau sensible,Positif
5,trs satisfait merci,Positif
4,hydratante et non gras,Positif
3,excellent ,Positif
4,rapport qualité prix ,Positif
5,cette base est un must-have dans ma routine beauté. ma peau est hydratée et mes ongles sont protégés. je l’adore,Positif
3,t,Positif
5,mahleeh,Positif
3,pas très hydratant.,Positif
5,"efficace pour peau seche, je recommande",Positif
5,gamme top,Positif
3,nettoye bien,Positif
5,très satisfait,Positif
5,good prices,Positif
3,"douce , à recommander",Positif
1,nul akhyeb creme hydratante jarabtha,Négatif
5,bon qualité,Positif
4,"good quality
authentic",Positif
5,meilleur prix,Positif
5,ce produit est indispensable ,Positif
5,mn a7sen les gels nettoyant il es doux 3al peau,Positif
4,douce w tnadhaf blgde ama mna9setlich acne,Positif
5,impressionné par ce gel il nettoie sans assécher ma peau,Positif
4,excellent pour peau acnéique,Positif
5,il est magnifique le produit!,Positif
4,3jbni nhli lhboub,Positif
4,nettoyage de peau profonde,Positif
5,meilleure gel nettoyant,Positif
5,اللي عندو الحب في وجهو حاجة روعة,Positif
5,très efficace pour les peaux mixtes,Positif
5,efficace pour les peaux grasses,Positif
4,parmis les meilleurs gel nettoyant,Positif
5,il est parfait ,Positif
5,parfait !,Positif
4,ce gel a une bonne texture.,Positif
5,efficace pour les imperfections,Positif
5,"bon produit ! convient aux peaux grasses, acneique, sensible",Positif
5,le meilleur ,Positif
5,excellent pour peau à tendance acnéique,Positif
5,en promotion rien que pour vous !,Positif
4,top pou une peau parfaite,Positif
5,jadore,Positif
1,big flop cette produit aucun effet par des autres marques moins chers,Négatif
5,produit top .. j’adore,Positif
5,testé et approuvé ,Positif
4,toop top,Positif
5,un tres bon produit,Positif
5,trs bon qualite,Positif
4,trop collant mais bien hydratant,Positif
5,tres hydratant,Positif
5,satisfait,Positif
5,has a lipgloss like finish while bieng super hydrating,Positif
5,tres bon produit,Positif
5,magnifique !,Positif
5,excellent produit il répare rapidement les lèvres,Positif
5,efficace ,Positif
5,toppp très efficace,Positif
4,hydrate en profondeur,Positif
5,to0,Positif
5,une hydratation extraordinaire,Positif
5,hydratante et binifique,Positif
5,répare rapidement mes lèvres,Positif
5,top de top the best ever,Positif
5,les produits sont efficaces,Positif
5,très hydraté ,Positif
5,le plus efficace sur le marché,Positif
5,tres efficace  je recommande !,Positif
5,hydratant et efficace,Positif
2,hydratant mais désagréable effet,Neutre
2,meh,Neutre
5,behi 3lkhr,Positif
5,impeccable,Positif
5,behy 3alekher ll les imperfections,Positif
4,tooopp,Positif
4,ye3jebni,Positif
5,machalla,Positif
4,suuperr,Positif
5,mahleh i recommenend,Positif
5,روعة,Positif
5,meilleure produit,Positif
4,bon oroduit nettiyant en douceur mais il n’est pas teop adapté en été à mon avis pour les peaux mixtes qui regraissent vite.,Positif
4,trs satisfait,Positif
4,bon produit pour peau seche,Positif
4,produit efficace pour peau nrml a seche,Positif
4,good quality!,Positif
5,un produit qui répond à mes attentes,Positif
4,un bon produit très efficace mais à éviter pour une peau hypersensible,Positif
4,fort,Positif
5,trop efficace,Positif
5,tellement miraculeux ,Positif
5,je ne peux plus m’en passer merci pour ce produit,Positif
5,one of the best vitamin c,Positif
5,"produit top , j’adore",Positif
5,"très bon nettoyant, dommage qu’il soit en rupture",Positif
4,mche maaya,Positif
5,très efficaces,Positif
4,c’est super,Positif
5,tres doux,Positif
3,bienn,Positif
3,mch khayb yaaml éclat fil wejah,Positif
3,la meilleur,Positif
4,"ça marche, light weight w yaati éclat",Positif
5,vraiment j’adore,Positif
3,metwasset,Positif
5,"طياااره مقارنة بالسوم ،ينظف بالباهي.
أما باعد تنظيف يشيح البشرة شوي donc لازم تستعمل بعدو crème hydratante.",Positif
5,doux sur la peau et efficace au mêmr temps. sent agréablement bien.,Positif
5,je recommande très bénéfique pour peau grasse,Positif
4,efficace et doux sur la peau,Positif
4,behy fait le job,Positif
5,"ma peau est claire w t7isha fraiche, produit 7abitou barcha",Positif
4,j ai testé ce produit pendant 3 mois je crois et on remarque un coup d éclat immédiat dès le premier usage . un autre truc c’est qu’il est tres moussant une petite noisette est extrêmement suffisante pour nettoyer le visage en profondeur,Positif
5,top l 7a9,Positif
1,pas vraiment,Négatif
3,pas suffisant seul,Positif
5,yacer tayara ,Positif
4,exfoliation douce et efficace,Positif
5,tip top,Positif
3,behi ta7foun,Positif
5,hydratation garantie !,Positif
5,ça hydrate hyper bien mais l’odeur est un peu désagréable,Positif
2,"hydratation ne dure pas longtemps,  5/10",Neutre
5,مشكوورة برشااا .صحباتي يخذوا من عندكم وأنا نحب نجرب,Positif
5,good love it,Positif
5,nooonn pour moi eucerin ahssen haja,Positif
4,wanna buy it again,Positif
5,magnifique ,Positif
5,au top,Positif
5,"c’est un produit très efficace
il a changé ma peau carrément",Positif
5,mon préféré il m’a sauvé la vie youfaa minna n3awed nechrih il est juste top,Positif
5,trés efficace contre les boutons et la sécretion du sébum! top,Positif
4,efficace bien,Positif
5,excellent !,Positif
5,excellent pour peaux grasse !,Positif
4,recommandée par ma dermatologue,Positif
5,exellente !conseillée par mon dermatologue,Positif
5,idéal pour les peaux sujettes à l’acné,Positif
5,the best for acne prone skin,Positif
5,tayara ,Positif
5,je le kiffe !,Positif
5,very good product ,Positif
4,"je vais l essayer, parmis les meilleurs",Positif
4,wa9tach tjiboh,Positif
5,supet,Positif
5," cicatrisation rapide prouvé, je l’utilise et je suis satisfaite",Positif
5,j’ai beaucoup aimé la formule de ce produit (légère sur la peau),Positif
4,j’hésite entre lui et cicalfate,Positif
4,a tester,Positif
4,bravo,Positif
3,efficace pour les peaux à tendance acnéique,Positif
4,efficace dans quelques semaines,Positif
5,good price and quantity and quantity,Positif
4,ynadhf l wejah ma4ir maychay7ou tahfoun,Positif
2,ynadhef ama ytala3 bcp de boutons,Neutre
4,efficace pour les peaux  à imperfections,Positif
4,super !!,Positif
5,top !!!,Positif
4,"top
mezel en rupture ?",Positif
5,top wakteh tjibouh plz,Positif
5,mahlehaaa pour tous types de peaux,Positif
5,je recommande cette crème à ceux qui recherchent une hydratation efficace et une peau douce.,Positif
5,meilleur serum pour les tâches brunes,Positif
2,maritch 7ata ntija,Neutre
3,"malgré son prix, 3jebni j’ai constaté un coup d’éclat
à recommander franchement il n’est pas mal",Positif
4,efficace pour les taches brunes,Positif
5,beau produit,Positif
3,marche tres bien,Positif
4,yna7i l’acne ta7foun,Positif
5,très efficace surtout ba3d épilation,Positif
4,rapport qualité prix acceptable,Positif
2,"j’ai pas trop aimé, je rentre comme un panda surtout avec la chaleur alors que normalement c waterproof",Neutre
5,pour les traces de boutons ce stylo est perfect,Positif
5,le meilleur pour la peau grasse,Positif
5,top ynadhef sans agressé la peau,Positif
5,ca va,Positif
5,très hydratante,Positif
4,trs satisfait  merci,Positif
2,"honnêtement, femma makhir min’ha",Neutre
5,"très cool  et hydratant , excellent après le nettoyage",Positif
3,refreshing,Positif
5,roséliane est l’une des meilleures crèmes pour les personnes souffrant de rosacée.,Positif
2,c´est vraiment magnifique,Neutre
4,wa9tek yarja3 en stock?,Positif
5,malheureusement en rupture,Positif
1,qui a utilisé ce produit peut me donner son avis ??,Négatif
5,curly hair friendly,Positif
5,genial,Positif
4,créme retinol ta7founa,Positif
5,mon creme solaire préférées,Positif
5,top ,Positif
5,ma7leh,Positif
4,tayyara,Positif
5,"sensation de douceur garantie, convient parfaitement à ma peau sensible",Positif
5,ça donne la sensation de fraicheur surtt en été,Positif
5,très  rafraîchissant,Positif
1,peu hydratant,Négatif
5,mn a7sen les crèmes hydratante eli sta3mlthm pour peau mixte à grasse,Positif
4,very nice,Positif
4,top mais toujours en rupture,Positif
4,c eclaircissant et glowy,Positif
5,je recommande top top tooop,Positif
4,"top wakteh tjibouh plz, 40ml chwaya",Positif
5,a life saver,Positif
5,top produit  meilleur qualité,Positif
4,efficace 3al li5ir,Positif
5,qualité top et très efficace,Positif
4,reparatrice ama thessou kel boumadha ala cheftek,Positif
5,super efficace,Positif
5,très efficace pour l’irritation et les rougeurs,Positif
1,nul,Négatif
4,hydration +++ avec une de odeur de miel agreable,Positif
5,un des meilleurs baumes a lèvres que j ai jamais testé il repare les lèvres gercées du premier usage,Positif
5,le meilleur remède pour les gerçures dommage qu’il est tjr en rupture de stock,Positif
1,khsayer flous,Négatif
4,top pour la peau sèche. il m’a été recommandé par mon dermatologue.,Positif
4,"effet bonne mine immédiat, régule la sécrétion de sébum
il faut juste appliquer une crème hydratante après",Positif
4,haja ,Positif
4,supper,Positif
5,j’adooree,Positif
5,"vraiment ce produit est une découverte le mousse nettoyante donne une très bonne mine et éclat instantané mais avec le vit c  c waaaw surtt que le sérum et hautement concentré, le seul a marché qui contient 25% du vit  c . je le recommande",Positif
5,perfect combination ,Positif
4,best vit c ,Positif
4,good for shaving,Positif
5,heyl,Positif
3,excellent produit ,Positif
3,"une bonne découverte et recommandation
excellent",Positif
5,tres efficace pour les traces,Positif
5,très efficace surtout pour l’acne,Positif
5,très bonne creme,Positif
5,i have been using it for years cleans the skin so well without leaving it dry,Positif
4,i like it so much jrbtou toop,Positif
5,top pour la peau mixte à grace avec une texture légère (mychaya7ech elwejeh),Positif
4,top pour beau acnéique,Positif
5,intéressant,Positif
4,éclat mahleh baad masque,Positif
5,a vos panier,Positif
3,preferably to be used in summer for freshness. smells really good,Positif
5,good quality.  jaime bien cette produit,Positif
5,j’ai ce produit pour sa capacité de réduire parfaitement ‘es cernes,Positif
5,j’aime ce produit pour sa capacité de réduire parfaitement ‘es cernes,Positif
5,produit de très bonne qualité,Positif
4,tres raffraichissante ,Positif
2,"un bon produit pas plus, on peut trouver la meme efficacité dans des gammes moins cheres",Neutre
5,c top ,Positif
4,effet bonne mine,Positif
5,ce sérum est le meilleur,Positif
5,la meilleure creme,Positif
5,meilleure parapharmacie,Positif
5,meilleure parapharmacie en tunisie,Positif
5,merci bcp,Positif
5,bravo bravo,Positif
4,bravo et merci,Positif
5,bravo et merci bcp,Positif
5,bravo et mille merci a vous,Positif
5,bonne continuation,Positif
5,merci et bonne continuation,Positif
5,merci et bravo,Positif
5,bonne continuation  et merci à vous,Positif
5,bravo bravo bravo,Positif
5,merci merci merci,Positif
5,good good,Positif
5,"odeur très bonne, la peau reste hydrater, tant de bons points qui me laisse le recommander",Positif
4,sema7,Positif
3,sent bon,Positif
4,efficace rapidement sur les ridules toop,Positif
5,meme la quantité s8ira mais cv eched wel resultat behia,Positif
5,peaux hypersensible,Positif
3,"pas mal , à recommander",Positif
1,rupture,Négatif
5,super duper,Positif
5,prix raisonnable,Positif
1,"il donne une belle couleur, mais l’hydratation ne dépasse pas une heure. ceux qui contiennent du colorant provoquent un dessèchement des lèvres après des heures de l’utilisation.",Négatif
1,may3melech hydratation jemla,Négatif
5,un mini lift avec petit prix,Positif
2,tahfouna,Neutre
2,"refreshing, but a little bit expensive, i recommend in general.",Neutre
5,ينحي الحبة حتى لتحت الجلد روعة,Positif
5,parmi les meilleurs produits que j’ai utilisé,Positif
4,excellent ,Positif
3,tayara ama fissa3 youfa,Positif
4,hydratant et leger,Positif
5,tayaraaaaa,Positif
5,glossy,Positif
4,"à recommander pour les peaux à imperfections, j’aime ce produit",Positif
4,like,Positif
3,flop,Positif
3,moyenne,Positif
5,favorite cream,Positif
1,"ma mchech m3aya jemla
ki na3mlou wejhi ychi7 w ywalli ya7ra9",Négatif
5,je recommande ,Positif
4,greattt,Positif
5,"je suis vraiment impressionné par les résultats. mes cils sont devenus visiblement plus longs et plus épais après quelques semaines d’utilisation régulière. de plus, le sérum est facile à appliquer et ne provoque aucune irritation. je recommande vivement ce produit à quiconque cherche à améliorer la longueur et la densité de ses cils.",Positif
5,tres bonne diminution des cernes et ridules indispensable dans mes routines wlh,Positif
5,effet bon mine,Positif
5,waouuuu,Positif
3,excellent pour la peau grasse,Positif
4,un bon produit pour lutter contre l’acné,Positif
5,très doux surtout pour la rosacée,Positif
4,bien elle me convient (mixte a grasse),Positif
3,apaisant et hydratant . j’adore,Positif
3,protège bien,Positif
3,guud,Positif
5,top pour moi,Positif
4,"un bon rapport qualité prix
des résultat claires",Positif
5,trs satisfait merci ,Positif
5,ce produit est très efficace,Positif
5,sensation de confort,Positif
5,excelent,Positif
5,best of the best,Positif
5,number one,Positif
5,nettoyant doux qui sens bon qui convient aux peaux mixtes,Positif
3,still using it 3 weeks i can see the difference.,Positif
4,produit  top,Positif
5,mon préfère,Positif
5,rapport qualité prix tayara,Positif
3,réduction de l’acné en 2 mois,Positif
5,je suis assez satisfaite,Positif
5,tres doux !,Positif
5,doux et parfait,Positif
5,c trop beau,Positif
5,texture parfaite,Positif
5,ynadhef mlih,Positif
5,top ,Positif
4,une creme assez hydratante et ca sens extrêmement bon !!!,Positif
5,elle hydrate bien j aime,Positif
5,super hydratante,Positif
4,sehr gut,Positif
3,pas d’effet visible (aprés 2 semaines d’utilisation) sur la brillance ou les imperfections et aucun effet apaisant sur le peau. produit léger c tout ….,Positif
5,eclat et uniformité c’est un véritable coup de coeur ,Positif
3,mamchech m3aya la79i9a,Positif
4,good ,Positif
5,excellente créme pour le coup de soleil et aussi aprés épilation,Positif
4,indispensable pour les peaux sensibles,Positif
4,nettoyage au profondeur et très doux,Positif
4,élimine toute les impuretés,Positif
3,bahi lil peau sensible,Positif
4,ma7laha,Positif
2,average quality,Neutre
